review,product_id,data_ingested
4,16,2023-06-04
4,7,2023-06-04
2,2,2023-06-04
1,13,2023-06-04
3,13,2023-06-04
3,15,2023-06-04
5,14,2023-06-04
4,22,2023-06-04
2,5,2023-06-04
2,10,2023-06-04
5,2,2023-06-04
5,24,2023-06-04
3,2,2023-06-04
1,2,2023-06-04
4,19,2023-06-04
5,17,2023-06-04
1,6,2023-06-04
1,17,2023-06-04
1,6,2023-06-04
1,20,2023-06-04
2,22,2023-06-04
1,13,2023-06-04
2,19,2023-06-04
5,19,2023-06-04
5,2,2023-06-04
4,3,2023-06-04
5,22,2023-06-04
5,19,2023-06-04
3,11,2023-06-04
3,7,2023-06-04
3,8,2023-06-04
2,13,2023-06-04
3,22,2023-06-04
3,15,2023-06-04
1,25,2023-06-04
4,1,2023-06-04
5,20,2023-06-04
1,4,2023-06-04
2,18,2023-06-04
3,17,2023-06-04
3,5,2023-06-04
2,3,2023-06-04
3,12,2023-06-04
4,6,2023-06-04
3,18,2023-06-04
5,20,2023-06-04
5,1,2023-06-04
1,10,2023-06-04
3,5,2023-06-04
1,4,2023-06-04
5,24,2023-06-04
3,5,2023-06-04
5,10,2023-06-04
3,7,2023-06-04
3,7,2023-06-04
4,17,2023-06-04
1,9,2023-06-04
4,3,2023-06-04
1,9,2023-06-04
3,1,2023-06-04
2,25,2023-06-04
3,21,2023-06-04
4,6,2023-06-04
4,18,2023-06-04
1,18,2023-06-04
1,4,2023-06-04
2,23,2023-06-04
1,18,2023-06-04
5,12,2023-06-04
2,18,2023-06-04
2,14,2023-06-04
3,2,2023-06-04
1,12,2023-06-04
2,12,2023-06-04
2,22,2023-06-04
1,22,2023-06-04
5,12,2023-06-04
5,14,2023-06-04
2,24,2023-06-04
2,8,2023-06-04
4,6,2023-06-04
2,1,2023-06-04
3,24,2023-06-04
2,14,2023-06-04
2,9,2023-06-04
1,23,2023-06-04
1,13,2023-06-04
2,16,2023-06-04
4,7,2023-06-04
3,12,2023-06-04
2,8,2023-06-04
2,1,2023-06-04
3,13,2023-06-04
1,9,2023-06-04
3,25,2023-06-04
5,12,2023-06-04
5,13,2023-06-04
1,11,2023-06-04
3,4,2023-06-04
5,6,2023-06-04
1,9,2023-06-04
5,4,2023-06-04
3,14,2023-06-04
3,24,2023-06-04
5,14,2023-06-04
1,17,2023-06-04
5,13,2023-06-04
3,7,2023-06-04
4,2,2023-06-04
5,1,2023-06-04
2,18,2023-06-04
4,12,2023-06-04
3,3,2023-06-04
3,20,2023-06-04
1,22,2023-06-04
3,24,2023-06-04
3,17,2023-06-04
4,22,2023-06-04
4,11,2023-06-04
3,23,2023-06-04
2,18,2023-06-04
4,7,2023-06-04
4,22,2023-06-04
2,22,2023-06-04
5,20,2023-06-04
4,10,2023-06-04
1,18,2023-06-04
3,10,2023-06-04
4,7,2023-06-04
5,19,2023-06-04
3,21,2023-06-04
4,15,2023-06-04
2,15,2023-06-04
4,17,2023-06-04
2,24,2023-06-04
1,22,2023-06-04
5,10,2023-06-04
5,22,2023-06-04
1,11,2023-06-04
2,25,2023-06-04
3,22,2023-06-04
2,8,2023-06-04
1,5,2023-06-04
2,2,2023-06-04
5,16,2023-06-04
1,25,2023-06-04
4,15,2023-06-04
5,21,2023-06-04
4,7,2023-06-04
4,16,2023-06-04
2,8,2023-06-04
1,21,2023-06-04
1,25,2023-06-04
4,25,2023-06-04
2,8,2023-06-04
5,23,2023-06-04
1,15,2023-06-04
2,18,2023-06-04
4,4,2023-06-04
4,5,2023-06-04
5,22,2023-06-04
5,18,2023-06-04
4,11,2023-06-04
5,20,2023-06-04
5,14,2023-06-04
2,15,2023-06-04
4,24,2023-06-04
3,15,2023-06-04
2,25,2023-06-04
3,21,2023-06-04
5,25,2023-06-04
2,16,2023-06-04
4,9,2023-06-04
3,3,2023-06-04
3,8,2023-06-04
3,11,2023-06-04
1,18,2023-06-04
2,5,2023-06-04
4,8,2023-06-04
2,23,2023-06-04
2,23,2023-06-04
4,3,2023-06-04
3,14,2023-06-04
4,18,2023-06-04
1,14,2023-06-04
4,7,2023-06-04
5,13,2023-06-04
1,23,2023-06-04
5,25,2023-06-04
4,13,2023-06-04
3,1,2023-06-04
4,10,2023-06-04
5,14,2023-06-04
5,24,2023-06-04
2,20,2023-06-04
2,16,2023-06-04
4,9,2023-06-04
1,16,2023-06-04
3,13,2023-06-04
4,22,2023-06-04
2,24,2023-06-04
2,15,2023-06-04
5,20,2023-06-04
4,1,2023-06-04
5,19,2023-06-04
1,22,2023-06-04
4,3,2023-06-04
4,5,2023-06-04
1,6,2023-06-04
4,9,2023-06-04
2,11,2023-06-04
3,15,2023-06-04
4,11,2023-06-04
4,9,2023-06-04
1,9,2023-06-04
1,16,2023-06-04
5,24,2023-06-04
3,2,2023-06-04
1,8,2023-06-04
1,25,2023-06-04
1,25,2023-06-04
2,8,2023-06-04
5,1,2023-06-04
2,5,2023-06-04
4,5,2023-06-04
1,22,2023-06-04
2,19,2023-06-04
3,15,2023-06-04
3,25,2023-06-04
5,6,2023-06-04
1,20,2023-06-04
2,25,2023-06-04
1,10,2023-06-04
1,19,2023-06-04
5,10,2023-06-04
4,22,2023-06-04
2,13,2023-06-04
5,3,2023-06-04
2,23,2023-06-04
3,4,2023-06-04
5,22,2023-06-04
5,4,2023-06-04
3,2,2023-06-04
4,18,2023-06-04
3,22,2023-06-04
5,3,2023-06-04
3,21,2023-06-04
4,1,2023-06-04
1,16,2023-06-04
3,14,2023-06-04
4,21,2023-06-04
2,23,2023-06-04
2,14,2023-06-04
5,24,2023-06-04
3,21,2023-06-04
5,20,2023-06-04
4,25,2023-06-04
4,15,2023-06-04
5,24,2023-06-04
3,9,2023-06-04
1,8,2023-06-04
4,9,2023-06-04
4,8,2023-06-04
5,19,2023-06-04
4,22,2023-06-04
1,11,2023-06-04
3,16,2023-06-04
4,6,2023-06-04
3,7,2023-06-04
3,9,2023-06-04
5,9,2023-06-04
3,23,2023-06-04
1,18,2023-06-04
2,17,2023-06-04
2,3,2023-06-04
4,24,2023-06-04
5,16,2023-06-04
2,25,2023-06-04
4,23,2023-06-04
4,21,2023-06-04
1,15,2023-06-04
3,3,2023-06-04
4,8,2023-06-04
2,23,2023-06-04
5,10,2023-06-04
4,12,2023-06-04
5,18,2023-06-04
4,12,2023-06-04
5,24,2023-06-04
3,11,2023-06-04
4,23,2023-06-04
3,9,2023-06-04
2,9,2023-06-04
2,4,2023-06-04
1,11,2023-06-04
5,24,2023-06-04
2,25,2023-06-04
2,7,2023-06-04
4,24,2023-06-04
5,9,2023-06-04
5,25,2023-06-04
3,20,2023-06-04
2,4,2023-06-04
2,10,2023-06-04
2,12,2023-06-04
1,10,2023-06-04
5,23,2023-06-04
3,5,2023-06-04
1,2,2023-06-04
3,18,2023-06-04
2,23,2023-06-04
4,21,2023-06-04
1,4,2023-06-04
3,19,2023-06-04
4,16,2023-06-04
3,15,2023-06-04
1,6,2023-06-04
4,9,2023-06-04
1,4,2023-06-04
4,13,2023-06-04
5,3,2023-06-04
1,21,2023-06-04
2,5,2023-06-04
3,19,2023-06-04
2,3,2023-06-04
5,4,2023-06-04
4,25,2023-06-04
5,20,2023-06-04
2,20,2023-06-04
5,25,2023-06-04
4,13,2023-06-04
3,15,2023-06-04
4,19,2023-06-04
5,10,2023-06-04
1,20,2023-06-04
1,20,2023-06-04
2,25,2023-06-04
2,21,2023-06-04
1,9,2023-06-04
2,6,2023-06-04
5,6,2023-06-04
2,3,2023-06-04
4,1,2023-06-04
5,15,2023-06-04
3,16,2023-06-04
2,2,2023-06-04
3,10,2023-06-04
4,23,2023-06-04
2,3,2023-06-04
5,9,2023-06-04
2,22,2023-06-04
1,14,2023-06-04
2,18,2023-06-04
2,21,2023-06-04
2,9,2023-06-04
1,3,2023-06-04
3,6,2023-06-04
5,20,2023-06-04
4,10,2023-06-04
4,4,2023-06-04
3,23,2023-06-04
4,23,2023-06-04
5,9,2023-06-04
4,18,2023-06-04
1,15,2023-06-04
1,20,2023-06-04
3,14,2023-06-04
3,20,2023-06-04
1,1,2023-06-04
5,8,2023-06-04
1,19,2023-06-04
3,25,2023-06-04
1,19,2023-06-04
2,25,2023-06-04
5,16,2023-06-04
4,21,2023-06-04
2,9,2023-06-04
4,19,2023-06-04
4,21,2023-06-04
4,3,2023-06-04
4,12,2023-06-04
3,11,2023-06-04
1,22,2023-06-04
3,6,2023-06-04
4,14,2023-06-04
4,10,2023-06-04
5,25,2023-06-04
4,2,2023-06-04
3,3,2023-06-04
3,9,2023-06-04
4,4,2023-06-04
1,17,2023-06-04
5,22,2023-06-04
4,15,2023-06-04
2,2,2023-06-04
3,17,2023-06-04
4,20,2023-06-04
4,21,2023-06-04
1,25,2023-06-04
3,7,2023-06-04
2,18,2023-06-04
4,10,2023-06-04
4,23,2023-06-04
1,4,2023-06-04
5,21,2023-06-04
2,8,2023-06-04
5,10,2023-06-04
5,1,2023-06-04
1,14,2023-06-04
1,8,2023-06-04
1,15,2023-06-04
2,21,2023-06-04
3,16,2023-06-04
3,17,2023-06-04
4,14,2023-06-04
2,16,2023-06-04
5,15,2023-06-04
4,5,2023-06-04
5,7,2023-06-04
2,17,2023-06-04
3,3,2023-06-04
4,25,2023-06-04
5,11,2023-06-04
1,9,2023-06-04
3,10,2023-06-04
5,19,2023-06-04
4,22,2023-06-04
4,5,2023-06-04
4,18,2023-06-04
3,12,2023-06-04
5,18,2023-06-04
4,13,2023-06-04
2,11,2023-06-04
2,23,2023-06-04
4,19,2023-06-04
4,8,2023-06-04
3,2,2023-06-04
4,24,2023-06-04
4,23,2023-06-04
2,13,2023-06-04
1,16,2023-06-04
5,5,2023-06-04
3,19,2023-06-04
4,4,2023-06-04
5,4,2023-06-04
1,15,2023-06-04
2,24,2023-06-04
2,14,2023-06-04
4,3,2023-06-04
3,9,2023-06-04
4,20,2023-06-04
1,21,2023-06-04
5,11,2023-06-04
3,13,2023-06-04
4,21,2023-06-04
1,18,2023-06-04
1,20,2023-06-04
3,8,2023-06-04
1,8,2023-06-04
1,14,2023-06-04
1,25,2023-06-04
2,15,2023-06-04
3,23,2023-06-04
1,1,2023-06-04
1,11,2023-06-04
3,10,2023-06-04
4,12,2023-06-04
2,5,2023-06-04
4,17,2023-06-04
2,19,2023-06-04
2,6,2023-06-04
5,3,2023-06-04
5,13,2023-06-04
2,22,2023-06-04
5,16,2023-06-04
2,5,2023-06-04
3,15,2023-06-04
3,15,2023-06-04
1,22,2023-06-04
3,15,2023-06-04
5,22,2023-06-04
1,6,2023-06-04
3,15,2023-06-04
3,19,2023-06-04
4,21,2023-06-04
3,23,2023-06-04
3,15,2023-06-04
4,7,2023-06-04
1,16,2023-06-04
4,8,2023-06-04
3,19,2023-06-04
3,19,2023-06-04
3,23,2023-06-04
4,1,2023-06-04
1,9,2023-06-04
1,19,2023-06-04
4,20,2023-06-04
2,10,2023-06-04
3,20,2023-06-04
2,8,2023-06-04
3,20,2023-06-04
2,22,2023-06-04
1,21,2023-06-04
1,21,2023-06-04
4,10,2023-06-04
5,2,2023-06-04
2,12,2023-06-04
3,3,2023-06-04
4,11,2023-06-04
2,6,2023-06-04
5,5,2023-06-04
5,12,2023-06-04
3,17,2023-06-04
3,6,2023-06-04
3,16,2023-06-04
3,24,2023-06-04
4,4,2023-06-04
2,3,2023-06-04
2,25,2023-06-04
4,22,2023-06-04
3,18,2023-06-04
4,3,2023-06-04
3,1,2023-06-04
1,18,2023-06-04
3,15,2023-06-04
3,22,2023-06-04
4,19,2023-06-04
3,21,2023-06-04
2,4,2023-06-04
1,16,2023-06-04
5,20,2023-06-04
5,11,2023-06-04
1,8,2023-06-04
4,21,2023-06-04
3,23,2023-06-04
4,21,2023-06-04
2,4,2023-06-04
1,2,2023-06-04
4,10,2023-06-04
1,4,2023-06-04
5,8,2023-06-04
4,5,2023-06-04
3,15,2023-06-04
5,22,2023-06-04
5,14,2023-06-04
2,24,2023-06-04
1,14,2023-06-04
5,16,2023-06-04
3,14,2023-06-04
3,2,2023-06-04
4,7,2023-06-04
2,15,2023-06-04
1,12,2023-06-04
3,22,2023-06-04
3,18,2023-06-04
4,2,2023-06-04
2,9,2023-06-04
4,4,2023-06-04
2,3,2023-06-04
5,21,2023-06-04
1,1,2023-06-04
2,11,2023-06-04
5,5,2023-06-04
1,7,2023-06-04
5,25,2023-06-04
5,7,2023-06-04
2,7,2023-06-04
2,11,2023-06-04
1,20,2023-06-04
2,9,2023-06-04
5,5,2023-06-04
2,9,2023-06-04
1,4,2023-06-04
1,5,2023-06-04
2,12,2023-06-04
3,19,2023-06-04
2,1,2023-06-04
1,9,2023-06-04
4,5,2023-06-04
1,17,2023-06-04
1,24,2023-06-04
4,16,2023-06-04
3,25,2023-06-04
5,17,2023-06-04
4,4,2023-06-04
2,17,2023-06-04
1,20,2023-06-04
5,24,2023-06-04
4,10,2023-06-04
1,21,2023-06-04
4,2,2023-06-04
4,13,2023-06-04
1,22,2023-06-04
4,16,2023-06-04
1,3,2023-06-04
5,11,2023-06-04
1,5,2023-06-04
3,5,2023-06-04
5,20,2023-06-04
3,18,2023-06-04
5,13,2023-06-04
3,17,2023-06-04
5,15,2023-06-04
4,20,2023-06-04
1,4,2023-06-04
5,21,2023-06-04
2,24,2023-06-04
4,14,2023-06-04
4,8,2023-06-04
4,11,2023-06-04
4,13,2023-06-04
1,24,2023-06-04
4,11,2023-06-04
3,11,2023-06-04
2,12,2023-06-04
4,22,2023-06-04
1,3,2023-06-04
1,3,2023-06-04
1,14,2023-06-04
3,24,2023-06-04
5,5,2023-06-04
5,2,2023-06-04
5,18,2023-06-04
1,11,2023-06-04
3,14,2023-06-04
4,22,2023-06-04
1,24,2023-06-04
5,10,2023-06-04
3,10,2023-06-04
5,4,2023-06-04
2,17,2023-06-04
4,5,2023-06-04
1,8,2023-06-04
5,12,2023-06-04
1,12,2023-06-04
3,25,2023-06-04
2,19,2023-06-04
5,14,2023-06-04
5,25,2023-06-04
5,20,2023-06-04
5,1,2023-06-04
3,22,2023-06-04
2,1,2023-06-04
3,9,2023-06-04
3,11,2023-06-04
2,1,2023-06-04
5,5,2023-06-04
4,22,2023-06-04
2,3,2023-06-04
1,24,2023-06-04
5,3,2023-06-04
4,7,2023-06-04
4,14,2023-06-04
2,11,2023-06-04
3,12,2023-06-04
3,24,2023-06-04
5,25,2023-06-04
1,20,2023-06-04
2,2,2023-06-04
5,6,2023-06-04
1,2,2023-06-04
4,9,2023-06-04
4,22,2023-06-04
5,16,2023-06-04
4,15,2023-06-04
2,9,2023-06-04
5,25,2023-06-04
3,4,2023-06-04
1,14,2023-06-04
5,10,2023-06-04
5,16,2023-06-04
3,22,2023-06-04
2,2,2023-06-04
5,13,2023-06-04
1,2,2023-06-04
3,7,2023-06-04
2,7,2023-06-04
3,25,2023-06-04
3,10,2023-06-04
1,4,2023-06-04
4,16,2023-06-04
2,6,2023-06-04
5,13,2023-06-04
2,23,2023-06-04
5,17,2023-06-04
3,22,2023-06-04
4,3,2023-06-04
1,24,2023-06-04
1,14,2023-06-04
1,15,2023-06-04
5,11,2023-06-04
5,14,2023-06-04
4,13,2023-06-04
1,10,2023-06-04
1,13,2023-06-04
2,11,2023-06-04
4,20,2023-06-04
3,23,2023-06-04
4,3,2023-06-04
2,4,2023-06-04
5,14,2023-06-04
5,13,2023-06-04
4,3,2023-06-04
3,10,2023-06-04
3,8,2023-06-04
2,25,2023-06-04
5,3,2023-06-04
1,21,2023-06-04
5,17,2023-06-04
3,7,2023-06-04
2,12,2023-06-04
1,8,2023-06-04
3,5,2023-06-04
2,7,2023-06-04
2,20,2023-06-04
1,25,2023-06-04
4,6,2023-06-04
5,15,2023-06-04
5,25,2023-06-04
5,15,2023-06-04
5,21,2023-06-04
3,11,2023-06-04
4,5,2023-06-04
4,3,2023-06-04
3,15,2023-06-04
5,9,2023-06-04
3,2,2023-06-04
1,17,2023-06-04
4,10,2023-06-04
1,15,2023-06-04
3,2,2023-06-04
1,10,2023-06-04
1,21,2023-06-04
5,20,2023-06-04
4,17,2023-06-04
5,15,2023-06-04
1,18,2023-06-04
5,15,2023-06-04
2,21,2023-06-04
5,11,2023-06-04
5,16,2023-06-04
1,5,2023-06-04
1,15,2023-06-04
1,11,2023-06-04
2,17,2023-06-04
2,2,2023-06-04
4,23,2023-06-04
5,15,2023-06-04
5,17,2023-06-04
3,6,2023-06-04
3,12,2023-06-04
4,13,2023-06-04
3,25,2023-06-04
5,22,2023-06-04
3,2,2023-06-04
3,3,2023-06-04
5,4,2023-06-04
4,22,2023-06-04
3,10,2023-06-04
5,24,2023-06-04
3,5,2023-06-04
5,3,2023-06-04
2,22,2023-06-04
3,12,2023-06-04
4,21,2023-06-04
5,5,2023-06-04
1,23,2023-06-04
5,10,2023-06-04
3,13,2023-06-04
5,5,2023-06-04
4,3,2023-06-04
3,17,2023-06-04
3,1,2023-06-04
2,10,2023-06-04
3,7,2023-06-04
4,25,2023-06-04
2,7,2023-06-04
2,5,2023-06-04
3,3,2023-06-04
5,4,2023-06-04
5,25,2023-06-04
5,24,2023-06-04
3,2,2023-06-04
5,25,2023-06-04
5,5,2023-06-04
2,13,2023-06-04
2,6,2023-06-04
5,23,2023-06-04
4,6,2023-06-04
4,2,2023-06-04
2,12,2023-06-04
5,15,2023-06-04
4,10,2023-06-04
5,8,2023-06-04
3,8,2023-06-04
2,16,2023-06-04
5,12,2023-06-04
4,15,2023-06-04
3,25,2023-06-04
4,25,2023-06-04
5,17,2023-06-04
2,14,2023-06-04
5,7,2023-06-04
3,5,2023-06-04
4,2,2023-06-04
5,12,2023-06-04
5,4,2023-06-04
3,4,2023-06-04
2,3,2023-06-04
4,9,2023-06-04
2,17,2023-06-04
1,14,2023-06-04
4,8,2023-06-04
1,12,2023-06-04
1,14,2023-06-04
5,13,2023-06-04
2,12,2023-06-04
1,13,2023-06-04
2,12,2023-06-04
3,1,2023-06-04
3,4,2023-06-04
2,5,2023-06-04
3,2,2023-06-04
2,16,2023-06-04
4,25,2023-06-04
5,15,2023-06-04
1,1,2023-06-04
3,1,2023-06-04
2,7,2023-06-04
5,18,2023-06-04
4,17,2023-06-04
3,4,2023-06-04
3,8,2023-06-04
1,4,2023-06-04
4,8,2023-06-04
5,21,2023-06-04
1,15,2023-06-04
4,4,2023-06-04
5,20,2023-06-04
5,1,2023-06-04
2,19,2023-06-04
2,23,2023-06-04
4,10,2023-06-04
5,1,2023-06-04
2,12,2023-06-04
4,19,2023-06-04
1,6,2023-06-04
3,17,2023-06-04
5,3,2023-06-04
5,18,2023-06-04
5,17,2023-06-04
4,1,2023-06-04
1,16,2023-06-04
4,21,2023-06-04
3,12,2023-06-04
1,24,2023-06-04
1,12,2023-06-04
2,12,2023-06-04
1,24,2023-06-04
5,25,2023-06-04
3,24,2023-06-04
1,5,2023-06-04
5,12,2023-06-04
2,11,2023-06-04
4,25,2023-06-04
4,23,2023-06-04
2,21,2023-06-04
1,5,2023-06-04
4,23,2023-06-04
3,2,2023-06-04
1,7,2023-06-04
1,7,2023-06-04
3,11,2023-06-04
4,17,2023-06-04
4,18,2023-06-04
1,9,2023-06-04
2,25,2023-06-04
3,10,2023-06-04
1,25,2023-06-04
3,21,2023-06-04
1,9,2023-06-04
4,12,2023-06-04
4,13,2023-06-04
3,13,2023-06-04
4,6,2023-06-04
4,23,2023-06-04
5,12,2023-06-04
1,9,2023-06-04
4,24,2023-06-04
4,3,2023-06-04
2,20,2023-06-04
3,18,2023-06-04
1,11,2023-06-04
3,3,2023-06-04
3,22,2023-06-04
4,10,2023-06-04
4,20,2023-06-04
4,6,2023-06-04
4,12,2023-06-04
3,2,2023-06-04
4,20,2023-06-04
1,9,2023-06-04
4,3,2023-06-04
5,12,2023-06-04
2,24,2023-06-04
2,1,2023-06-04
4,20,2023-06-04
2,2,2023-06-04
2,3,2023-06-04
3,25,2023-06-04
4,12,2023-06-04
1,19,2023-06-04
2,20,2023-06-04
4,22,2023-06-04
3,12,2023-06-04
1,15,2023-06-04
2,19,2023-06-04
3,17,2023-06-04
3,13,2023-06-04
3,21,2023-06-04
1,8,2023-06-04
2,1,2023-06-04
5,16,2023-06-04
5,13,2023-06-04
3,4,2023-06-04
3,25,2023-06-04
4,23,2023-06-04
5,7,2023-06-04
4,10,2023-06-04
1,7,2023-06-04
1,5,2023-06-04
2,15,2023-06-04
4,23,2023-06-04
3,3,2023-06-04
3,22,2023-06-04
1,23,2023-06-04
5,18,2023-06-04
3,10,2023-06-04
2,6,2023-06-04
5,12,2023-06-04
1,8,2023-06-04
2,7,2023-06-04
4,8,2023-06-04
3,1,2023-06-04
5,18,2023-06-04
4,12,2023-06-04
2,18,2023-06-04
1,20,2023-06-04
3,3,2023-06-04
4,13,2023-06-04
4,17,2023-06-04
4,25,2023-06-04
1,19,2023-06-04
3,5,2023-06-04
1,21,2023-06-04
4,15,2023-06-04
5,22,2023-06-04
2,12,2023-06-04
5,25,2023-06-04
5,21,2023-06-04
2,6,2023-06-04
5,14,2023-06-04
1,2,2023-06-04
2,17,2023-06-04
2,10,2023-06-04
3,6,2023-06-04
2,23,2023-06-04
5,12,2023-06-04
1,10,2023-06-04
2,9,2023-06-04
5,21,2023-06-04
2,9,2023-06-04
3,21,2023-06-04
5,20,2023-06-04
5,3,2023-06-04
2,21,2023-06-04
5,19,2023-06-04
2,5,2023-06-04
5,22,2023-06-04
5,24,2023-06-04
5,11,2023-06-04
1,2,2023-06-04
1,3,2023-06-04
5,21,2023-06-04
2,9,2023-06-04
5,25,2023-06-04
5,14,2023-06-04
1,21,2023-06-04
5,16,2023-06-04
3,10,2023-06-04
2,16,2023-06-04
4,22,2023-06-04
4,10,2023-06-04
1,3,2023-06-04
4,6,2023-06-04
4,14,2023-06-04
2,15,2023-06-04
5,11,2023-06-04
3,5,2023-06-04
3,23,2023-06-04
3,24,2023-06-04
2,13,2023-06-04
3,25,2023-06-04
5,17,2023-06-04
3,4,2023-06-04
4,8,2023-06-04
3,4,2023-06-04
2,15,2023-06-04
1,5,2023-06-04
3,2,2023-06-04
5,13,2023-06-04
2,14,2023-06-04
3,6,2023-06-04
3,19,2023-06-04
2,7,2023-06-04
5,16,2023-06-04
4,15,2023-06-04
4,10,2023-06-04
1,1,2023-06-04
5,13,2023-06-04
2,15,2023-06-04
5,7,2023-06-04
1,12,2023-06-04
3,2,2023-06-04
5,16,2023-06-04
4,21,2023-06-04
5,10,2023-06-04
1,1,2023-06-04
2,14,2023-06-04
3,9,2023-06-04
4,25,2023-06-04
1,12,2023-06-04
1,13,2023-06-04
5,19,2023-06-04
3,7,2023-06-04
3,18,2023-06-04
4,3,2023-06-04
4,17,2023-06-04
5,25,2023-06-04
5,9,2023-06-04
5,22,2023-06-04
2,4,2023-06-04
4,4,2023-06-04
3,12,2023-06-04
3,18,2023-06-04
2,25,2023-06-04
5,7,2023-06-04
4,17,2023-06-04
1,17,2023-06-04
1,2,2023-06-04
3,5,2023-06-04
5,16,2023-06-04
2,15,2023-06-04
5,20,2023-06-04
3,5,2023-06-04
3,20,2023-06-04
4,6,2023-06-04
3,20,2023-06-04
3,19,2023-06-04
5,17,2023-06-04
4,18,2023-06-04
5,23,2023-06-04
4,10,2023-06-04
3,1,2023-06-04
1,11,2023-06-04
5,14,2023-06-04
1,10,2023-06-04
4,20,2023-06-04
5,9,2023-06-04
2,19,2023-06-04
1,24,2023-06-04
4,19,2023-06-04
5,6,2023-06-04
5,21,2023-06-04
4,25,2023-06-04
2,5,2023-06-04
5,2,2023-06-04
1,23,2023-06-04
1,7,2023-06-04
3,15,2023-06-04
2,14,2023-06-04
2,14,2023-06-04
5,14,2023-06-04
5,25,2023-06-04
1,16,2023-06-04
2,23,2023-06-04
2,17,2023-06-04
3,18,2023-06-04
4,22,2023-06-04
4,17,2023-06-04
2,11,2023-06-04
5,15,2023-06-04
5,11,2023-06-04
3,12,2023-06-04
4,20,2023-06-04
2,7,2023-06-04
5,9,2023-06-04
2,10,2023-06-04
3,10,2023-06-04
2,23,2023-06-04
4,23,2023-06-04
4,11,2023-06-04
5,12,2023-06-04
3,24,2023-06-04
1,10,2023-06-04
5,19,2023-06-04
4,13,2023-06-04
2,12,2023-06-04
1,10,2023-06-04
1,10,2023-06-04
4,12,2023-06-04
3,21,2023-06-04
4,24,2023-06-04
2,7,2023-06-04
3,18,2023-06-04
3,18,2023-06-04
1,5,2023-06-04
5,20,2023-06-04
2,8,2023-06-04
5,2,2023-06-04
2,8,2023-06-04
1,2,2023-06-04
3,14,2023-06-04
4,23,2023-06-04
